epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6259,1.64848,1.68017,1.53039,0.70614,0.58068,0.68521,0.38286,1.55594,1.39007,1.49331,0.000662366,0.000662366,0.000662366
2,107.696,1.60919,1.47686,1.53747,0.57301,0.59931,0.59444,0.26086,1.94157,1.79433,1.85049,0.00130272,0.00130272,0.00130272
3,158.567,1.63383,1.46406,1.54894,0.69219,0.5903,0.66239,0.28841,1.87318,1.76354,1.80879,0.00191667,0.00191667,0.00191667
4,209.51,1.59312,1.41314,1.53707,0.67188,0.60682,0.67684,0.36809,1.70602,1.42539,1.6247,0.0018812,0.0018812,0.0018812
5,260.565,1.55983,1.35026,1.51342,0.73088,0.65,0.74496,0.40774,1.57253,1.43901,1.53247,0.0018416,0.0018416,0.0018416
6,313.237,1.51132,1.29799,1.48554,0.70917,0.61238,0.69967,0.38194,1.67582,1.62738,1.56185,0.001802,0.001802,0.001802
7,363.762,1.49846,1.26994,1.46522,0.78221,0.62614,0.73236,0.39056,1.65377,1.16825,1.55558,0.0017624,0.0017624,0.0017624
8,414.168,1.46162,1.20903,1.45015,0.7739,0.65455,0.76813,0.43761,1.48278,1.16193,1.44067,0.0017228,0.0017228,0.0017228
9,464.893,1.43747,1.17971,1.42937,0.76954,0.62955,0.75151,0.41614,1.58591,1.19691,1.53027,0.0016832,0.0016832,0.0016832
10,514.908,1.41693,1.15082,1.4144,0.74983,0.68801,0.77071,0.44481,1.51349,1.20726,1.4816,0.0016436,0.0016436,0.0016436
11,565.176,1.40592,1.12987,1.40929,0.75026,0.73397,0.79872,0.45885,1.47836,1.01757,1.44883,0.001604,0.001604,0.001604
12,615.604,1.4053,1.12709,1.40417,0.75988,0.65227,0.76016,0.43698,1.55902,1.09568,1.49559,0.0015644,0.0015644,0.0015644
13,664.241,1.37546,1.08386,1.38465,0.77167,0.70795,0.7991,0.47396,1.39819,1.02004,1.38456,0.0015248,0.0015248,0.0015248
14,714.092,1.35019,1.07099,1.37309,0.78331,0.72955,0.81351,0.48546,1.45965,0.96802,1.42085,0.0014852,0.0014852,0.0014852
15,764.282,1.33748,1.0377,1.36638,0.81306,0.67955,0.80245,0.47107,1.51884,0.97086,1.47175,0.0014456,0.0014456,0.0014456
16,813.181,1.32644,1.03387,1.36184,0.75206,0.76364,0.8154,0.47938,1.43749,0.98246,1.41007,0.001406,0.001406,0.001406
17,862.957,1.33164,1.02489,1.35304,0.79275,0.73409,0.82449,0.49484,1.44932,0.94472,1.41312,0.0013664,0.0013664,0.0013664
18,911.226,1.30877,1.00555,1.35034,0.77795,0.77636,0.83421,0.50279,1.39458,0.91194,1.38428,0.0013268,0.0013268,0.0013268
19,961.11,1.30095,0.98131,1.33344,0.80815,0.74432,0.82487,0.4992,1.43944,0.94897,1.38307,0.0012872,0.0012872,0.0012872
20,1010.51,1.28146,0.95898,1.32327,0.79637,0.77771,0.84163,0.51208,1.378,0.89708,1.37126,0.0012476,0.0012476,0.0012476
21,1060.37,1.272,0.9596,1.3152,0.79913,0.76705,0.83918,0.50421,1.38067,0.90634,1.34776,0.001208,0.001208,0.001208
22,1109.07,1.25498,0.92518,1.3082,0.82138,0.76817,0.84262,0.5133,1.3971,0.88576,1.37009,0.0011684,0.0011684,0.0011684
23,1157.34,1.25367,0.92683,1.29941,0.80916,0.76591,0.84311,0.52423,1.37088,0.87488,1.36625,0.0011288,0.0011288,0.0011288
24,1206.98,1.23166,0.91258,1.29397,0.79958,0.78428,0.85082,0.53302,1.33636,0.84518,1.33828,0.0010892,0.0010892,0.0010892
25,1256.1,1.23413,0.89885,1.29058,0.83742,0.77273,0.86327,0.5436,1.32414,0.79358,1.32339,0.0010496,0.0010496,0.0010496
26,1306.1,1.22557,0.89347,1.28865,0.83286,0.77575,0.8619,0.53475,1.34832,0.83543,1.32579,0.00101,0.00101,0.00101
27,1354.5,1.20267,0.87566,1.27647,0.85685,0.77541,0.86988,0.53402,1.32442,0.82685,1.30505,0.0009704,0.0009704,0.0009704
28,1402.98,1.20068,0.86912,1.27724,0.82247,0.79493,0.8754,0.54608,1.33257,0.79894,1.3394,0.0009308,0.0009308,0.0009308
29,1451.8,1.17507,0.84537,1.25547,0.84119,0.7945,0.8672,0.55354,1.27134,0.77803,1.29481,0.0008912,0.0008912,0.0008912
30,1500.33,1.16561,0.82483,1.24115,0.83887,0.8125,0.87231,0.5458,1.29457,0.8144,1.31358,0.0008516,0.0008516,0.0008516
31,1548.47,1.18153,0.83537,1.25182,0.84057,0.8,0.87191,0.56027,1.29187,0.77906,1.31587,0.000812,0.000812,0.000812
32,1597.3,1.16258,0.82894,1.24853,0.82764,0.82941,0.87617,0.55654,1.26553,0.78344,1.28697,0.0007724,0.0007724,0.0007724
33,1646.88,1.14798,0.81224,1.23213,0.8219,0.84431,0.88789,0.56973,1.2714,0.75176,1.28747,0.0007328,0.0007328,0.0007328
34,1696.01,1.13939,0.80358,1.22824,0.83768,0.80932,0.87878,0.57405,1.26734,0.77208,1.29789,0.0006932,0.0006932,0.0006932
35,1744.44,1.13641,0.79869,1.2322,0.85669,0.81518,0.88166,0.56309,1.27238,0.77215,1.30495,0.0006536,0.0006536,0.0006536
36,1793.46,1.12418,0.77737,1.2202,0.86201,0.81932,0.88277,0.57231,1.25321,0.73505,1.26399,0.000614,0.000614,0.000614
37,1843,1.11498,0.77765,1.21311,0.85225,0.82386,0.88645,0.57381,1.21469,0.7181,1.24982,0.0005744,0.0005744,0.0005744
38,1891.38,1.10757,0.76269,1.21257,0.84869,0.82223,0.88221,0.57148,1.23167,0.71964,1.25906,0.0005348,0.0005348,0.0005348
39,1941.93,1.09814,0.75604,1.2061,0.84397,0.82159,0.88874,0.58383,1.25194,0.70984,1.2496,0.0004952,0.0004952,0.0004952
40,1991.73,1.09158,0.75781,1.20313,0.84623,0.84318,0.89317,0.58886,1.22696,0.70575,1.24909,0.0004556,0.0004556,0.0004556
41,2041.36,1.06281,0.66944,1.19717,0.85112,0.81207,0.87794,0.57819,1.23336,0.7376,1.28097,0.000416,0.000416,0.000416
42,2088.31,1.03628,0.64875,1.17383,0.86795,0.79545,0.89119,0.58777,1.25482,0.7167,1.26193,0.0003764,0.0003764,0.0003764
43,2134.73,1.03549,0.63537,1.17491,0.87147,0.82841,0.8978,0.60066,1.20241,0.69877,1.23968,0.0003368,0.0003368,0.0003368
44,2182.38,1.01019,0.62526,1.16424,0.86654,0.81901,0.88606,0.58768,1.22011,0.69631,1.24084,0.0002972,0.0002972,0.0002972
45,2230.47,0.98794,0.60651,1.15245,0.87857,0.82045,0.90087,0.60147,1.21079,0.7144,1.24067,0.0002576,0.0002576,0.0002576
46,2277.71,0.9842,0.59818,1.14379,0.87533,0.8218,0.90149,0.60147,1.24446,0.69549,1.25919,0.000218,0.000218,0.000218
47,2325.89,0.96169,0.5883,1.13419,0.85613,0.84318,0.90094,0.6091,1.20175,0.68986,1.23684,0.0001784,0.0001784,0.0001784
48,2374.11,0.95329,0.58296,1.12374,0.89005,0.81871,0.90421,0.61527,1.20549,0.70592,1.24205,0.0001388,0.0001388,0.0001388
49,2421.67,0.94767,0.57757,1.12819,0.8842,0.8156,0.89803,0.61242,1.18926,0.69686,1.24129,9.92e-05,9.92e-05,9.92e-05
50,2470.07,0.93252,0.56499,1.11811,0.89522,0.80909,0.90552,0.61616,1.21303,0.68665,1.24077,5.96e-05,5.96e-05,5.96e-05
